2 500 158 
0 0	318 92
1 0	323 109
0 1	245 211
1 1	231 219
0 2	81 312
1 2	65 308
0 3	207 288
1 3	185 292
0 4	76 290
1 4	61 287
0 5	420 169
1 5	414 188
0 6	46 270
1 6	35 267
0 7	49 267
1 7	37 264
0 8	540 244
1 8	510 266
0 9	557 249
1 9	528 272
0 10	295 225
1 10	279 236
0 11	143 175
1 11	135 182
0 12	373 217
1 12	350 232
0 13	527 241
1 13	500 263
0 14	295.2 225.6
1 14	278.4 236.4
0 15	428.4 169.2
1 15	422 188
0 16	420 168
1 16	414 188
0 17	76.8 292.8
1 17	62.4 289.2
0 18	244.8 210
1 18	231.6 219.6
0 19	63.6 276
1 19	50.4 273.6
0 20	558 249.6
1 20	528 272.4
0 21	331.2 94.8
1 21	337.2 114
0 22	318 93.6
1 22	324 111.6
0 23	530.4 241.2
1 23	502.8 262.8
0 24	372 217.2
1 24	350.4 231.6
0 25	206.4 288
1 25	185 292
0 26	526.8 241.2
1 26	499.2 262.8
0 27	244.8 208.8
1 27	231.552 219.456
0 28	371.52 216
1 28	349.92 230.4
0 29	511.2 262.08
1 29	478.08 282.24
0 30	427.68 168.48
1 30	420.48 187.2
0 31	420.48 168.48
1 31	413.28 187.2
0 32	529.92 247.68
1 32	501.12 267.84
0 33	295.2 224.64
1 33	277.92 236.16
0 34	205.92 288
1 34	184.32 290.88
0 35	544.32 248.832
1 35	514.944 271.296
0 36	371.52 216
1 36	349.056 229.824
0 37	245.376 210.816
1 37	231.552 219.456
0 38	530.496 248.832
1 38	501.12 269.568
0 39	316.224 88.128
1 39	321.408 105.408
0 40	426.816 169.344
1 40	419.904 188.352
0 41	419.904 167.616
1 41	413.28 187.2
0 42	319.68 93.312
1 42	324.864 110.592
0 43	222.912 260.928
1 43	205.632 267.84
0 44	67.392 274.752
1 44	55.296 273.024
0 45	532.224 241.92
1 45	502.848 262.656
0 46	58.752 278.208
1 46	46.08 273.6
0 47	205.632 286.848
1 47	184.32 290.88
0 48	157.248 231.552
1 48	148.32 236.16
0 49	147.226 234.317
1 49	136.858 236.39
0 50	425.088 167.962
1 50	418.867 186.624
0 51	371.174 215.654
1 51	350.438 230.17
0 52	331.776 93.312
1 52	337.997 111.974
0 53	246.758 209.434
1 53	232.243 217.728
0 54	207.36 286.157
1 54	184.896 290.304
0 55	157.594 230.17
1 55	147.226 234.317
0 56	161.741 236.39
1 56	151.373 240.538
0 57	146.811 233.902
1 57	136.858 236.39
0 58	246.344 209.019
1 58	232.243 217.728
0 59	370.76 213.996
1 59	350.438 230.17
0 60	154.276 228.925
1 60	144.323 233.902
0 61	296.11 223.949
1 61	281.18 236.39
0 62	206.531 286.157
1 62	186.624 290.304
0 63	391.164 358.318
1 63	349.36 367.276
0 64	382.206 352.346
1 64	343.388 364.29
0 65	370.262 214.991
1 65	346.374 226.935
0 66	247.837 209.019
1 66	232.907 217.977
0 67	223.949 185.131
1 67	217.977 194.089
0 68	298.598 226.935
1 68	280.683 235.893
0 69	397.733 354.735
1 69	354.735 365.485
0 70	386.984 354.735
1 70	343.388 364.29
0 71	247.24 207.825
1 71	232.907 214.991
0 72	369.068 211.408
1 72	347.569 225.74
0 73	297.404 225.74
1 73	283.071 236.49
0 74	161.243 236.49
1 74	150.494 243.656
0 75	383.4 326.07
1 75	347.569 336.819
0 76	290.238 240.073
1 76	272.322 250.823
0 77	207.825 286.655
1 77	186.325 290.238
0 78	351.152 229.324
1 78	333.236 240.073
